ils_unit_id,scope,unit,source,confirmed_on,note
1476682,SF290,G1,proposed: matched on unit id,,SF290 – 5915 119 Avenue NW | Multiple Units Available | 1 MONTH FREE
1476683,SF290,G2,proposed: matched on unit id,,SF290 – 5915 119 Avenue NW | Multiple Units Available | 1 MONTH FREE
1476684,SF290,G3,proposed: matched on unit id,,SF290 – 5915 119 Avenue NW | Multiple Units Available | 1 MONTH FREE
1476685,SF290,G4,proposed: matched on unit id,,SF290 – 5915 119 Avenue NW | Multiple Units Available | 1 MONTH FREE
1455119,SF292,G1,proposed: matched on unit id,,SF292 – 11935 46 Street NW | Multiple Units Available | 1 MONTH FREE
1455120,SF292,G4,proposed: matched on unit id,,SF292 – 11935 46 Street NW | Multiple Units Available | 1 MONTH FREE
1455114,SF298,115,proposed: matched on unit id,,"SF298 – 3 Bed | 2 Bath Townhouse in Gleneagles, Cochrane | #115, 156 Park Street"
1454955,SF30,#801,proposed: matched on unit id,,"SF30 – | 2 Bed | 2 Bath Condo in Downtown | #801, 10175 109 Street NW"
1455124,SF303,711,proposed: matched on unit id,,"SF303 – 1 Month Free | 3 Bed | 2.5 Bath Duplex Homes in Windermere/Langdale, SW "
1455125,SF303,713,proposed: matched on unit id,,"SF303 – 1 Month Free | 3 Bed | 2.5 Bath Duplex Homes in Windermere/Langdale, SW "
1455129,SF304,19,proposed: matched on unit id,,SF304 - 3 Bed 2 Bath Townhouse in Tamarack - #19 1430 Aster Way NW
1497460,SF314,26,proposed: matched on unit id,,"SF322 -  3 Bedroom, 2.5 Bathroom Townhouse – 1 Month Free | SF322"
1459047,SF314,30,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459047,SF314,30,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459047,SF314,30,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459047,SF314,30,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459045,SF314,32,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459045,SF314,32,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459045,SF314,32,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459045,SF314,32,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1579087,SF314,45,proposed: matched on unit id,,"SF320- 3 Bed + Den, 2.5 Bath Townhouse in Keswick - 18120 28 Ave SW - August 11 "
1465589,SF314,46,proposed: matched on unit id,,SF314 - 3 Bedroom + Den - 2.5 Bathroom Townhome in Keswick
1465589,SF314,46,proposed: matched on unit id,,SF314 - 3 Bedroom + Den - 2.5 Bathroom Townhome in Keswick
1497470,SF314,47,proposed: matched on unit id,,"SF328 - 3 Bedroom, 2.5 Bathroom Townhome – 1 Month Free | SF328"
1459046,SF314,60,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459046,SF314,60,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459046,SF314,60,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459046,SF314,60,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459038,SF314,63,proposed: matched on unit id,,SF318 - 3 Bedroom + Den Townhouse in Keswick
1459042,SF314,63,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459042,SF314,63,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459042,SF314,63,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459042,SF314,63,proposed: matched on unit id,,"SF318, SF313, SF315, SF316, Sf323, SF324 -  3 Bedroom + Den Townhouse in Southwe"
1459085,SF321,1404,proposed: matched on unit id,,SF321 -Luxury 2 Bed 2 Bath  Condo in Downtown Edmonton
1458997,SF327,49,proposed: matched on unit id,,"SF327 Modern 3 Bedroom, 2.5 Bathroom Townhome with Single Garage-"
1519938,SF333,28,proposed: matched on unit id,,"SF333 | 1 Month Free – Modern 3 Bedroom Townhome – Keswick, Edmonton"
1519330,SF334,16,proposed: matched on unit id,,"SF334 | Spacious 3 Bed, 2.5 Bath Townhome with Air Conditioning – Southwest Edmo"
1458182,SF335,Upper 3,proposed: matched on unit id,,"SF335 - Modern 3 Bedroom, 2.5 Bathroom Townhome-"
1458216,SF336,Lower 1B,proposed: matched on unit id,,"SF336 - Modern 2 Bedroom, 1 Bathroom Lower Suite - Available Immediately-"
1458218,SF336,Lower 2B,proposed: matched on unit id,,"SF336 - Modern 2 Bedroom, 1 Bathroom Lower Suite - Available Immediately-"
1458219,SF336,Lower 3B,proposed: matched on unit id,,"SF336 - Modern 2 Bedroom, 1 Bathroom Lower Suite - Available Immediately-"
1458220,SF336,Lower 4B,proposed: matched on unit id,,"SF336 - Modern 2 Bedroom, 1 Bathroom Lower Suite - Available Immediately-"
1458215,SF336,Upper 2,proposed: matched on unit id,,"SF336 - Modern 3 Bedroom, 2.5 Bathroom Townhome-"
1458222,SF336,Upper 3,proposed: matched on unit id,,"SF336 - Modern 3 Bedroom, 2.5 Bathroom Townhome-"
1458223,SF336,Upper 4,proposed: matched on unit id,,"SF336 - Modern 3 Bedroom, 2.5 Bathroom Townhome-"
1480774,SF337,10314 Bsmt,proposed: matched on unit id,,SF337 | 2 Bedroom Basement Suite – Northwest Edmonton
1480782,SF337,10314 Main,proposed: matched on unit id,,SF337 – 3 Bedroom Main Floor Home  in Grovenor
1480774,SF337,10316 Bsmt,proposed: matched on unit id,,SF337 | 2 Bedroom Basement Suite – Northwest Edmonton
1480782,SF337,10316 Main,proposed: matched on unit id,,SF337 – 3 Bedroom Main Floor Home  in Grovenor
1480774,SF337,10318 Bsmt,proposed: matched on unit id,,SF337 | 2 Bedroom Basement Suite – Northwest Edmonton
1480782,SF337,10318 Main,proposed: matched on unit id,,SF337 – 3 Bedroom Main Floor Home  in Grovenor
1460702,SF339,607,proposed: matched on unit id,,SF339 |  2 Bed 2 Bath Condo |  #607 10226 104 Ave NW
1454958,SF52,319,proposed: matched on unit id,,SF52 - 2 Bedroom +Den 2 Bathroom in Country Club Court
1454968,SF57,#3,proposed: matched on unit id,,SF57 - 3 Bedroom + Den 2 Bathroom Townhouse in Lacombe Park -
1454966,SF59,2113,proposed: matched on unit id,,SF59 - 2 Bedroom 1 Bathroom Condo in Cromdale -
1454971,SF72,31,proposed: matched on unit id,,"SF72 – 2 Bed | 1 Bath Townhouse in Charlesworth, SW Edmonton | #31 – 602 62 Stre"
1454975,SF77,#312,proposed: matched on unit id,,SF77 - 3 Bed1.5  Bath Townhouse in Beverly Heights - #312 2908 116 Ave NW
